nodes	16S_rRNA_Count
'internal_node_3299'	7.01467472449327
'internal_node_3300'	7
'internal_node_3301'	7
'internal_node_3302'	7
'internal_node_3309'	7.02647162056973
'internal_node_3310'	7
'internal_node_3311'	7
'internal_node_3312'	7
'internal_node_3313'	7
'internal_node_3321'	7
'internal_node_3331'	7
'internal_node_3333'	7
'internal_node_3366'	7.07351528709486
'internal_node_3367'	7
'internal_node_3370'	7.14816537263584
'internal_node_3371'	7.27376241542841
'internal_node_3372'	7.6
'internal_node_3373'	7
'internal_node_3382'	6.22218008914213
'internal_node_3383'	5.96979906116534
'internal_node_3384'	3.42708335154345
'internal_node_3387'	8
'internal_node_3388'	8
'internal_node_3399'	7
'internal_node_3404'	6.96515799827855
'internal_node_3405'	7
'internal_node_3406'	7
'internal_node_3407'	7
'internal_node_3408'	7
'internal_node_3412'	7
'internal_node_3418'	7
'internal_node_3419'	7
'internal_node_3424'	7
'internal_node_3425'	7
'internal_node_3426'	7
'internal_node_3430'	7
'internal_node_3448'	7
'internal_node_3505'	7
'internal_node_3506'	7
'internal_node_3507'	7
'internal_node_3508'	7
'internal_node_3509'	7
'internal_node_3514'	7
'internal_node_3515'	7
'internal_node_3529'	7
'internal_node_3551'	6.91078962877113
'internal_node_3552'	6.83881114731449
'internal_node_3555'	7
'internal_node_3556'	7
'internal_node_3565'	6.69570666525379
'internal_node_3569'	6.55891753965092
'internal_node_3575'	7
'internal_node_3579'	7
'internal_node_3580'	7
'internal_node_3582'	7
'internal_node_3584'	7
'internal_node_3586'	7
'internal_node_3587'	7
'internal_node_3600'	7
'internal_node_3611'	7
'internal_node_3613'	7
'internal_node_3627'	7
'internal_node_3628'	7
'internal_node_3633'	7
'internal_node_3635'	7
'internal_node_3646'	7
'internal_node_3649'	7
'internal_node_3650'	7
'internal_node_3651'	7
'internal_node_3665'	7.26990037127214
'internal_node_3666'	7.39021922949784
'internal_node_3667'	7
'internal_node_3670'	8
'internal_node_3676'	6.62901264553225
'internal_node_3680'	6.24284022314851
'internal_node_3681'	6.08786738743183
'internal_node_3683'	6.21466062332508
'internal_node_3684'	6.95631084567764
'internal_node_3685'	6.92456790393638
'internal_node_3688'	7
'internal_node_3693'	7
'internal_node_3695'	7
'internal_node_3696'	7
'internal_node_3719'	6.83783783783784
'internal_node_3722'	6.25
